	proerythroblast	early_basophilic	late_basophilic	polychromatic	orthochromatic	red_cluster
ADAMTS1	5.35755200461808	3.87446944580134	0.736965623020107	0	0	2
RQCD1	11.7495899933706	12.0282514281628	11.5876214268422	10.0004690813973	10.0004690813973	4
PRR12	11.986434757159	11.8254887182796	11.3087184272486	9.09803208296053	9.09803208296053	4
ZNF329	9.84025345503986	9.8008998999203	9.33017002294182	8.54303182025524	8.54303182025524	2
EXOC5	12.9939409014697	13.3479438075376	13.3945069072838	12.8167836793786	12.8167836793786	4
ZZZ3	12.246938584412	12.1214256997008	11.1234747982441	7.98109172777908	7.98109172777908	4
LMO2	14.1860623820819	14.4775894278586	14.5508868402284	13.0656966688361	13.0656966688361	4
RREB1	14.1199948152504	13.8078912038284	13.0765372168806	11.9695063212181	11.9695063212181	2
PKMYT1	12.6246430922747	13.2164427391605	13.3179312010738	12.6118701957773	12.6118701957773	3
DPY19L1	12.2356154816509	12.4184674802047	12.064405961891	10.6685898573689	10.6685898573689	4
LOC100507066	0.736965623020107	0	0	3.4594316186373	3.4594316186373	1
EML4	11.2755425560867	11.1444460287051	10.3405923100251	9.4566967193551	9.4566967193551	2
PDE7B	4.58496250072116	5.22239229252438	5.83289001416474	3.50249991620705	3.50249991620705	4
CLIC3	2.32192809488736	1.87446924907023	0.736965623020107	0	0	2
KRT19	5.4594316186373	4.71881806483631	4.5025005526902	0.415037463211467	0.415037463211467	4
MDM1	10.6911616136871	11.1367777670663	11.1611318829843	10.5097750043269	10.5097750043269	4
UBLCP1	11.6382852105585	11.8873474360421	11.7637655152148	10.8677937856597	10.8677937856597	4
NAA20	11.8471877466715	11.894059846274	11.2726297849764	9.47775826644389	9.47775826644389	4
LOC100506599	4.24792751344359	3.16992500144231	1.73696544989669	0	0	2
C9orf82	11.18838299664	11.2780620158654	10.7971208191519	9.24950862827155	9.24950862827155	4
PMEL	5.39231742277876	5.24792751344359	4.62449105986657	2.32192809488736	2.32192809488736	4
ACLY	15.5769764396458	15.534849991083	15.0359301372215	13.1605017475557	13.1605017475557	4
RPA2	13.0292872269682	13.2129522850369	12.796580518056	11.2514824106202	11.2514824106202	4
SLC30A9	13.0322179581781	13.2206302936032	13.0110524998006	12.0059753565004	12.0059753565004	4
LLGL2	8.09451742284586	8.02974715937682	7.52877992574228	5.93859937692852	5.93859937692852	4
MALT1	9.54817977591342	9.96337773878487	9.82601881930446	8.39945610049804	8.39945610049804	4
KCTD18	9.88417051910844	10.1819808540073	9.97345773420027	8.75822321472672	8.75822321472672	4
IGF2BP3	12.5373802820335	12.375763584603	11.7090838125503	10.7824519774948	10.7824519774948	2
SNTB2	9.8811139606751	9.82495874052852	9.23042087515315	8.07503357003947	8.07503357003947	2
C2orf77	7.02606192761044	6.76818432477693	7.01866421513775	5.69116199763018	5.69116199763018	4
NEFM	0.415037463211467	0	1	1.73696544989669	1.73696544989669	1
LOC127841	0	0	0	0.415037463211467	0.415037463211467	1
ANKMY2	11.3579186796605	11.2429757778415	10.4498368056823	9.03708922719365	9.03708922719365	2
FOXO3	12.2521725259965	13.0374325015641	13.7969521615093	15.9669485655623	15.9669485655623	1
SNORD19	4.41503727385773	4.52356195605701	2.66296493679111	1.41503767961571	1.41503767961571	2
AZI1	10.7971208191519	11.16783646674	11.5112584955023	10.0984703534717	10.0984703534717	4
C1orf38	13.7280267813526	13.6713940033916	13.0000586435162	9.04439411935845	9.04439411935845	4
HS2ST1	12.9153814062997	12.4561831811759	11.2358150001029	8.99246623289737	8.99246623289737	2
FCAMR	0	0	0.415037463211467	0	0	3
TRIM46	5.60486215697359	4.05889397759255	2.22239252438609	0.415037463211467	0.415037463211467	2
SPRN	8.94641886231576	8.73696570687675	7.81591672214459	5.44846061094568	5.44846061094568	2
MMGT1	11.2984446766009	11.2615073092021	10.8744688617558	9.75711211170421	9.75711211170421	4
NCBP1	13.1384318062768	13.4389646434195	13.0314139789474	11.6974020075027	11.6974020075027	4
ACSBG2	4.56478482198	4.29768079316525	3.84130191847043	2.87446905233909	2.87446905233909	2
FAM78A	12.3579184048266	12.1949621038129	12.035830072835	10.5924570372681	10.5924570372681	4
ING5	12.0663135847578	12.1979332543815	11.6850408987086	9.89935692292311	9.89935692292311	4
